Article ID,Publication Year,Reference,US$/QALY *,Ratio Description,PubMed ID,Target Population,Intervention Description,Title,Comparator Description,Impact
2020-01-33304,2020,Forne 2020 Eur J Prev Cardiol,7100,percutaneous coronary intervention VERSUS Standard/Usual Care- standard/usual care IN Specific disease- acute coronary syndrome; Age- >=65 years; Gender- Male; Country- Italy; Other- first acute coronary syndrome hospitalization.,0,Specific disease- acute coronary syndrome; Age- >=65 years; Gender- Male; Country- Italy; Other- first acute coronary syndrome hospitalization.,percutaneous coronary intervention,A cost-utility analysis of increasing percutaneous coronary intervention use in elderly patients with acute coronary syndromes in six European countries.,Standard/Usual Care- standard/usual care,NE
2020-01-33304,2020,Forne 2020 Eur J Prev Cardiol,7500,percutaneous coronary intervention VERSUS Standard/Usual Care- standard/usual care IN Specific disease- acute coronary syndrome; Age- >=65 years; Gender- Female; Country- Italy; Other- first acute coronary syndrome hospitalization.,0,Specific disease- acute coronary syndrome; Age- >=65 years; Gender- Female; Country- Italy; Other- first acute coronary syndrome hospitalization.,percutaneous coronary intervention,A cost-utility analysis of increasing percutaneous coronary intervention use in elderly patients with acute coronary syndromes in six European countries.,Standard/Usual Care- standard/usual care,NE
2020-01-33304,2020,Forne 2020 Eur J Prev Cardiol,7700,percutaneous coronary intervention in all patients VERSUS Standard/Usual Care- standard/usual care IN Specific disease- acute coronary syndrome; Age- >=65 years; Gender- Female; Country- Italy; Other- first acute coronary syndrome hospitalization.,0,Specific disease- acute coronary syndrome; Age- >=65 years; Gender- Female; Country- Italy; Other- first acute coronary syndrome hospitalization.,percutaneous coronary intervention in all patients,A cost-utility analysis of increasing percutaneous coronary intervention use in elderly patients with acute coronary syndromes in six European countries.,Standard/Usual Care- standard/usual care,NE
2020-01-33304,2020,Forne 2020 Eur J Prev Cardiol,7800,percutaneous coronary intervention VERSUS Standard/Usual Care- standard/usual care IN Specific disease- acute coronary syndrome; Age- >=65 years; Gender- Female; Country- Italy; Other- first acute coronary syndrome hospitalization.,0,Specific disease- acute coronary syndrome; Age- >=65 years; Gender- Female; Country- Italy; Other- first acute coronary syndrome hospitalization.,percutaneous coronary intervention,A cost-utility analysis of increasing percutaneous coronary intervention use in elderly patients with acute coronary syndromes in six European countries.,Standard/Usual Care- standard/usual care,NE
2020-01-33122,2020,RÃ¤dke 2020 J. Alzheimer's Dis.,25000,"dementia care management VERSUS Standard/Usual Care- standard/usual care IN Specific disease- dementia; Age- >=65 years; Gender- Both; Country- Germany; Other- no deficits in daily living activities, DelpHi-trial.",32039839,"Specific disease- dementia; Age- >=65 years; Gender- Both; Country- Germany; Other- no deficits in daily living activities, DelpHi-trial.",dementia care management,Who Benefits Most from Collaborative Dementia Care from a Patient and Payer  Perspective? A Subgroup Cost-Effectiveness Analysis.,Standard/Usual Care- standard/usual care,NE
2020-01-33122,2020,RÃ¤dke 2020 J. Alzheimer's Dis.,33000,"dementia care management VERSUS Standard/Usual Care- standard/usual care IN Specific disease- dementia; Age- >=65 years; Gender- Both; Country- Germany; Other- not living alone, DelpHi-trial.",32039839,"Specific disease- dementia; Age- >=65 years; Gender- Both; Country- Germany; Other- not living alone, DelpHi-trial.",dementia care management,Who Benefits Most from Collaborative Dementia Care from a Patient and Payer  Perspective? A Subgroup Cost-Effectiveness Analysis.,Standard/Usual Care- standard/usual care,NE
2020-01-33122,2020,RÃ¤dke 2020 J. Alzheimer's Dis.,33000,"dementia care management VERSUS Standard/Usual Care- standard/usual care IN Specific disease- dementia; Age- >=65 years; Gender- Both; Country- Germany; Other- very high comorbidity, DelpHi-trial.",32039839,"Specific disease- dementia; Age- >=65 years; Gender- Both; Country- Germany; Other- very high comorbidity, DelpHi-trial.",dementia care management,Who Benefits Most from Collaborative Dementia Care from a Patient and Payer  Perspective? A Subgroup Cost-Effectiveness Analysis.,Standard/Usual Care- standard/usual care,NE
2020-01-33122,2020,RÃ¤dke 2020 J. Alzheimer's Dis.,43000,"dementia care management VERSUS Standard/Usual Care- standard/usual care IN Specific disease- dementia; Age- 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- Germany; Other- DelpHi-trial.",32039839,"Specific disease- dementia; Age- 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- Germany; Other- DelpHi-trial.",dementia care management,Who Benefits Most from Collaborative Dementia Care from a Patient and Payer  Perspective? A Subgroup Cost-Effectiveness Analysis.,Standard/Usual Care- standard/usual care,NE
2020-01-33122,2020,RÃ¤dke 2020 J. Alzheimer's Dis.,87000,dementia care management VERSUS Standard/Usual Care- standard/usual care IN Specific disease- dementia; Age- >=65 years; Gender- Male; Country- Germany; Other- DelpHi-trial.,32039839,Specific disease- dementia; Age- >=65 years; Gender- Male; Country- Germany; Other- DelpHi-trial.,dementia care management,Who Benefits Most from Collaborative Dementia Care from a Patient and Payer  Perspective? A Subgroup Cost-Effectiveness Analysis.,Standard/Usual Care- standard/usual care,NE
2020-01-33122,2020,RÃ¤dke 2020 J. Alzheimer's Dis.,Cost-Saving,dementia care management VERSUS Standard/Usual Care- standard/usual care IN Specific disease- dementia; Age- >=65 years; Gender- Both; Country- Germany; Other- DelpHi-trial.,32039839,Specific disease- dementia; Age- >=65 years; Gender- Both; Country- Germany; Other- DelpHi-trial.,dementia care management,Who Benefits Most from Collaborative Dementia Care from a Patient and Payer  Perspective? A Subgroup Cost-Effectiveness Analysis.,Standard/Usual Care- standard/usual care,SE
1 2 3 4 5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
