Article ID,Publication Year,Reference,US$/QALY *,Ratio Description,PubMed ID,Target Population,Intervention Description,Title,Comparator Description,Impact
2020-01-34784,2020,Retèl 2020 Eur J Cancer,Cost-Saving,"70-gene signature strategy VERSUS Standard/Usual Care- clinical assessment strategy IN Specific disease- breast cancer; Age- Adult; Gender- Female; Country- France; Other- high risk, estrogen receptor positive, human epidermal growth factor 2 negative.",32795875,"Specific disease- breast cancer; Age- Adult; Gender- Female; Country- France; Other- high risk, estrogen receptor positive, human epidermal growth factor 2 negative.",70-gene signature strategy,Cost-effectiveness analysis of the 70-gene signature compared with clinical  assessment in breast cancer based on a randomised controlled trial.,Standard/Usual Care- clinical assessment strategy,SE
2020-01-34784,2020,Retèl 2020 Eur J Cancer,Cost-Saving,"70-gene signature strategy VERSUS Standard/Usual Care- clinical assessment strategy IN Specific disease- breast cancer; Age- Adult; Gender- Female; Country- Germany; Other- high risk, estrogen receptor positive, human epidermal growth factor 2 negative.",32795875,"Specific disease- breast cancer; Age- Adult; Gender- Female; Country- Germany; Other- high risk, estrogen receptor positive, human epidermal growth factor 2 negative.",70-gene signature strategy,Cost-effectiveness analysis of the 70-gene signature compared with clinical  assessment in breast cancer based on a randomised controlled trial.,Standard/Usual Care- clinical assessment strategy,SE
2020-01-34784,2020,Retèl 2020 Eur J Cancer,Cost-Saving,"70-gene signature strategy VERSUS Standard/Usual Care- clinical assessment strategy IN Specific disease- breast cancer; Age- Adult; Gender- Female; Country- Netherlands; Other- high risk, estrogen receptor positive, human epidermal growth factor 2 negative.",32795875,"Specific disease- breast cancer; Age- Adult; Gender- Female; Country- Netherlands; Other- high risk, estrogen receptor positive, human epidermal growth factor 2 negative.",70-gene signature strategy,Cost-effectiveness analysis of the 70-gene signature compared with clinical  assessment in breast cancer based on a randomised controlled trial.,Standard/Usual Care- clinical assessment strategy,SE
2020-01-34784,2020,Retèl 2020 Eur J Cancer,Cost-Saving,"70-gene signature strategy VERSUS Standard/Usual Care- clinical assessment strategy IN Specific disease- breast cancer; Age- Adult; Gender- Female; Country- United States; Other- high risk, estrogen receptor positive, human epidermal growth factor 2 negative.",32795875,"Specific disease- breast cancer; Age- Adult; Gender- Female; Country- United States; Other- high risk, estrogen receptor positive, human epidermal growth factor 2 negative.",70-gene signature strategy,Cost-effectiveness analysis of the 70-gene signature compared with clinical  assessment in breast cancer based on a randomised controlled trial.,Standard/Usual Care- clinical assessment strategy,SE
2020-01-34766,2020,Steffen 2020 Sci Rep,Cost-Saving,"diaskintest VERSUS tuberculin skin test + protein purified derivative IN Specific disease- hiv; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- Brazil; Other- CD4+ count >=350 cells/ul.",33311520,"Specific disease- hiv; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- Brazil; Other- CD4+ count >=350 cells/ul.",diaskintest,Cost-effectiveness of newer technologies for the diagnosis of Mycobacterium  tuberculosis infection in Brazilian people living with HIV.,tuberculin skin test + protein purified derivative,SE
2020-01-34766,2020,Steffen 2020 Sci Rep,Cost-Saving,"ec skin test VERSUS tuberculin skin test + protein purified derivative IN Specific disease- hiv; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- Brazil; Other- CD4+ count >=350 cells/ul.",33311520,"Specific disease- hiv; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- Brazil; Other- CD4+ count >=350 cells/ul.",ec skin test,Cost-effectiveness of newer technologies for the diagnosis of Mycobacterium  tuberculosis infection in Brazilian people living with HIV.,tuberculin skin test + protein purified derivative,SE
2020-01-34766,2020,Steffen 2020 Sci Rep,Cost-Saving,"quantiferon tuberculin gold plus VERSUS tuberculin skin test + protein purified derivative IN Specific disease- hiv; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- Brazil; Other- CD4+ count >=350 cells/ul.",33311520,"Specific disease- hiv; Age- 0 to 18 years, 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- Brazil; Other- CD4+ count >=350 cells/ul.",quantiferon tuberculin gold plus,Cost-effectiveness of newer technologies for the diagnosis of Mycobacterium  tuberculosis infection in Brazilian people living with HIV.,tuberculin skin test + protein purified derivative,SE
2020-01-34259,2020,Robles-Zurita 2020 Eur J Health Econ,18000,culprit vessel only percutaneous coronary intervention VERSUS Standard/Usual Care- immediate multivessel PCI IN Specific disease- myocardial infarction; Age- Adult; Gender- Both; Country- Germany; Other- cardiogenic shock.,33029668,Specific disease- myocardial infarction; Age- Adult; Gender- Both; Country- Germany; Other- cardiogenic shock.,culprit vessel only percutaneous coronary intervention,Economic evaluation of culprit lesion only PCI vs. immediate multivessel PCI in  acute myocardial infarction complicated by cardiogenic shock: the CULPRIT-SHOCK  trial.,Standard/Usual Care- immediate multivessel PCI,NE
2020-01-34259,2020,Robles-Zurita 2020 Eur J Health Econ,8500,culprit only percutaneous coronary intervention VERSUS Standard/Usual Care- multivessel percutaneous coronary intervention IN Specific disease- myocardial infarction; Age- Adult; Gender- Both; Country- Germany; Other- cardiogenic shock.,33029668,Specific disease- myocardial infarction; Age- Adult; Gender- Both; Country- Germany; Other- cardiogenic shock.,culprit only percutaneous coronary intervention,Economic evaluation of culprit lesion only PCI vs. immediate multivessel PCI in  acute myocardial infarction complicated by cardiogenic shock: the CULPRIT-SHOCK  trial.,Standard/Usual Care- multivessel percutaneous coronary intervention,NE
2020-01-34127,2020,Brettschneider 2020 BMC Psychiatry,90000,"stepped care model VERSUS Standard/Usual Care- outpatient + inpatient psychotherapeutic or psychiatric services IN Specific disease- depression; Age- 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- Germany; Other- hamburg; at least mild depression.",32859177,"Specific disease- depression; Age- 19 to 40 years, 41 to 64 years, >=65 years; Gender- Both; Country- Germany; Other- hamburg; at least mild depression.",stepped care model,Cost-effectiveness of guideline-based stepped and collaborative care versus  treatment as usual for patients with depression - a cluster-randomized trial.,Standard/Usual Care- outpatient + inpatient psychotherapeutic or psychiatric services,NE
1 2 3 4 5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
