Category 1,Category 2,Indicator short code,Indicator name,Indicator units,Indicator currency
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc7,"Governance, and health system and financing administration, in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc9,"Other health care services not elsewhere classified (n.e.c.), in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc_gghed,"Domestic general government health expenditure by Health Care Functions, in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc1_gghed,"Domestic General Government Expenditure on Curative care, in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc11_gghed,"Domestic General Government Expenditure on Inpatient curative care, in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc12_gghed,"Domestic General Government Expenditure on Day curative care, in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc13_gghed,"Domestic General Government Expenditure on Outpatient curative care, in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc131_gghed,"Domestic General Government Expenditure on General outpatient curative care, in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc132_gghed,"Domestic General Government Expenditure on Dental outpatient curative care, in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc133_gghed,"Domestic General Government Expenditure on Specialised outpatient curative care, in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc13nec_gghed,"Domestic General Government Expenditure on Outpatient curative care n.e.c., in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc14_gghed,"Domestic General Government on Home-based curative care, in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc1nec_gghed,"Domestic General Government Expenditure on Other curative care, in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc2_gghed,"Domestic General Government Expenditure on Rehabilitative care, in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc3_gghed,"Domestic General Government Expenditure on Long-term care (health), in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc31_gghed,"Domestic General Government Expenditure on Inpatient long-term care (health), in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc32_gghed,"Domestic General Government Expenditure on Day long-term care (health), in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc33_gghed,"Domestic General Government Expenditure on Outpatient long-term care (health), in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc34_gghed,"Domestic General Government Expenditure on Home-based long-term care (health), in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc3nec_gghed,"Domestic General Government Expenditure on Other Long-Term Care, in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc4_gghed,"Domestic General Government Expenditure on Ancillary services (non-specified by function), in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc5_gghed,"Domestic General Government Expenditure on Medical goods (non-specified by function), in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc6_gghed,"Domestic General Government Expenditure on Preventive care, in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc62_gghed,"Domestic General Government Expenditure on Immunization Programmes, in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc7_gghed,"Domestic General Government Expenditure on Governance, health system & financing administration, in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc9_gghed,"Domestic General Government Expenditure on Other health care services (n.e.c.), in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc_ext,"External health expenditure by Health Care Functions, in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc1_ext,"External Expenditure on Curative care, in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc11_ext,"External Expenditure on Inpatient curative care, in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc12_ext,"External Expenditure on Day curative care, in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc13_ext,"External Expenditure on Outpatient curative care, in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc131_ext,"External Expenditure on General outpatient curative care, in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc132_ext,"External Expenditure on Dental outpatient curative care, in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc133_ext,"External Expenditure on Specialised outpatient curative care, in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc13nec_ext,"External Expenditure on Outpatient curative care n.e.c., in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc14_ext,"External Expenditure on Home-based curative care, in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc1nec_ext,"External Expenditure on Other curative care, in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc2_ext,"External Expenditure on Rehabilitative care, in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc3_ext,"External Expenditure on Long-term care (health), in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc31_ext,"External Expenditure on Inpatient long-term care (health), in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc32_ext,"External Expenditure on Day long-term care (health), in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc33_ext,"External Expenditure on Outpatient long-term care (health), in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc34_ext,"External Expenditure on Home-based long-term care (health), in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc3nec_ext,"External Expenditure on Other Long-Term Care, in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc4_ext,"External Expenditure on Ancillary services (non-specified by function), in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc5_ext,"External Expenditure on Medical goods (non-specified by function), in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc6_ext,"External Expenditure on Preventive care, in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc62_ext,"External sources of funding on Immunization Programmes , in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc7_ext,"External Expenditure on Governance, health system & financing administration, in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc9_ext,"External Expenditure on Other health care services (n.e.c.), in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc_pvtd,"Domestic Private Health Expenditure by Health Care Functions, in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc1_pvtd,"Domestic Private Expenditure on Curative care, in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc11_pvtd,"Domestic Private Expenditure on Inpatient curative care, in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc12_pvtd,"Domestic Private Expenditure on Day curative care, in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc13_pvtd,"Domestic Private Expenditure on Outpatient curative care, in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc131_pvtd,"Domestic Private Expenditure on General outpatient curative care, in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc132_pvtd,"Domestic Private Expenditure on Dental outpatient curative care, in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc133_pvtd,"Domestic Private Expenditure on Specialised outpatient curative care, in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc13nec_pvtd,"Domestic Private Expenditure on Outpatient curative care n.e.c., in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc14_pvtd,"Domestic Private Expenditure on Home-based curative care, in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc1nec_pvtd,"Domestic Private Expenditure on Other curative care, in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc2_pvtd,"Domestic Private Expenditure on Rehabilitative care, in million current NCU",Millions,NCU
HEALTH EXPENDITURE DATA,HEALTH CARE FUNCTIONS,hc3_pvtd,"Domestic Private Expenditure on Long-term care (health), in million current NCU",Millions,NCU
